Date,Time,Currency,Impact,Event Title,Details id,Actual,Forecast,Previous,Hour,Month,DayOfWeek,YearMonth,DayOfMonth
2023-01-01,All Day,AUD,Non-Economic,Bank Holiday,130315,,,,0.0,1,6,2023-01-01,1
2023-01-01,All Day,NZD,Non-Economic,Bank Holiday,130672,,,,0.0,1,6,2023-01-01,1
2023-01-02,All Day,CAD,Non-Economic,Bank Holiday,130255,,,,0.0,1,0,2023-01-01,2
2023-01-02,All Day,CHF,Non-Economic,Bank Holiday,133739,,,,0.0,1,0,2023-01-01,2
2023-01-02,All Day,CNY,Non-Economic,Bank Holiday,133702,,,,0.0,1,0,2023-01-01,2
2023-01-02,9:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,129087,46.4,45.9,45.7,9.0,1,0,2023-01-01,2
2023-01-02,9:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,129075,48.5,48.5,48.4,9.0,1,0,2023-01-01,2
2023-01-02,9:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,129111,49.2,48.9,48.9,9.0,1,0,2023-01-01,2
2023-01-02,9:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,129135,47.1,47.4,47.4,9.0,1,0,2023-01-01,2
2023-01-02,10:00am,EUR,Low Impact Expected,Final Manufacturing PMI,129123,47.8,47.8,47.8,10.0,1,0,2023-01-01,2
2023-01-02,All Day,GBP,Non-Economic,Bank Holiday,133639,,,,0.0,1,0,2023-01-01,2
2023-01-02,All Day,JPY,Non-Economic,Bank Holiday,133648,,,,0.0,1,0,2023-01-01,2
2023-01-02,All Day,NZD,Non-Economic,Bank Holiday,130673,,,,0.0,1,0,2023-01-01,2
2023-01-02,All Day,USD,Non-Economic,Bank Holiday,129993,,,,0.0,1,0,2023-01-01,2
2023-01-03,6:30am,AUD,Low Impact Expected,Commodity Prices y/y,130614,15.6%,,19.6%,6.0,1,1,2023-01-01,3
2023-01-03,3:30pm,CAD,Low Impact Expected,Manufacturing PMI,130451,49.2,,49.6,3.0,1,1,2023-01-01,3
2023-01-03,9:30am,CHF,Low Impact Expected,Manufacturing PMI,129100,54.1,53.0,53.9,9.0,1,1,2023-01-01,3
2023-01-03,2:45am,CNY,Low Impact Expected,Caixin Manufacturing PMI,131470,49.0,49.2,49.4,2.0,1,1,2023-01-01,3
2023-01-03,All Day,EUR,Low Impact Expected,German Prelim CPI m/m,131783,-0.8%,-0.6%,-0.5%,0.0,1,1,2023-01-01,3
2023-01-03,9:00am,EUR,Low Impact Expected,Spanish Unemployment Change,129390,-43.7K,-40.3K,-33.5K,9.0,1,1,2023-01-01,3
2023-01-03,9:55am,EUR,Low Impact Expected,German Unemployment Change,125490,-13K,15K,15K,9.0,1,1,2023-01-01,3
2023-01-03,10:30am,GBP,Low Impact Expected,Final Manufacturing PMI,129147,45.3,44.7,44.7,10.0,1,1,2023-01-01,3
2023-01-03,All Day,JPY,Non-Economic,Bank Holiday,133649,,,,0.0,1,1,2023-01-01,3
2023-01-03,3:39pm,NZD,Low Impact Expected,GDT Price Index,128732,-2.8%,,-3.8%,3.0,1,1,2023-01-01,3
2023-01-03,3:45pm,USD,Low Impact Expected,Final Manufacturing PMI,130464,46.2,46.2,46.2,3.0,1,1,2023-01-01,3
2023-01-03,4:00pm,USD,Low Impact Expected,Construction Spending m/m,129959,0.2%,-0.4%,-0.2%,4.0,1,1,2023-01-01,3
2023-01-04,8:30am,CHF,High Impact Expected,CPI m/m,131391,-0.2%,-0.1%,0.0%,8.0,1,2,2023-01-01,4
2023-01-04,8:00am,EUR,Low Impact Expected,German Import Prices m/m,125581,-4.5%,-1.7%,-1.2%,8.0,1,2,2023-01-01,4
2023-01-04,8:45am,EUR,Low Impact Expected,French Prelim CPI m/m,133742,-0.1%,0.5%,0.3%,8.0,1,2,2023-01-01,4
2023-01-04,9:15am,EUR,Low Impact Expected,Spanish Services PMI,129171,51.6,50.8,51.2,9.0,1,2,2023-01-01,4
2023-01-04,9:45am,EUR,Low Impact Expected,Italian Services PMI,129159,49.9,49.5,49.5,9.0,1,2,2023-01-01,4
2023-01-04,9:50am,EUR,Low Impact Expected,French Final Services PMI,129183,49.5,48.1,48.1,9.0,1,2,2023-01-01,4
2023-01-04,9:55am,EUR,Low Impact Expected,German Final Services PMI,129197,49.2,49.0,49.0,9.0,1,2,2023-01-01,4
2023-01-04,10:00am,EUR,Low Impact Expected,Final Services PMI,129196,49.8,49.1,49.1,10.0,1,2,2023-01-01,4
2023-01-04,1:01am,GBP,Low Impact Expected,BRC Shop Price Index y/y,126515,7.3%,,7.4%,1.0,1,2,2023-01-01,4
2023-01-04,10:30am,GBP,Low Impact Expected,M4 Money Supply m/m,133743,-1.6%,0.2%,0.1%,10.0,1,2,2023-01-01,4
2023-01-04,10:30am,GBP,Low Impact Expected,Mortgage Approvals,133195,46K,54K,58K,10.0,1,2,2023-01-01,4
2023-01-04,10:30am,GBP,Low Impact Expected,Net Lending to Individuals m/m,133196,5.9B,4.5B,4.3B,10.0,1,2,2023-01-01,4
2023-01-04,1:30am,JPY,Low Impact Expected,Final Manufacturing PMI,128798,48.9,48.8,48.8,1.0,1,2,2023-01-01,4
2023-01-04,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,130532,13.3M,13.4M,14.1M,0.0,1,2,2023-01-01,4
2023-01-04,4:00pm,USD,High Impact Expected,ISM Manufacturing PMI,130004,48.4,48.5,49.0,4.0,1,2,2023-01-01,4
2023-01-04,4:00pm,USD,High Impact Expected,JOLTS Job Openings,132217,10.46M,10.04M,10.51M,4.0,1,2,2023-01-01,4
2023-01-04,4:00pm,USD,Low Impact Expected,ISM Manufacturing Prices,130005,39.4,42.9,43.0,4.0,1,2,2023-01-01,4
2023-01-04,8:00pm,USD,High Impact Expected,FOMC Meeting Minutes,130116,,,,8.0,1,2,2023-01-01,4
2023-01-05,2:30pm,CAD,Low Impact Expected,Trade Balance,132585,0.0B,1.3B,0.1B,2.0,1,3,2023-01-01,5
2023-01-05,2:45am,CNY,Low Impact Expected,Caixin Services PMI,131469,48.0,46.8,46.7,2.0,1,3,2023-01-01,5
2023-01-05,8:00am,EUR,Low Impact Expected,German Trade Balance,132102,10.8B,7.5B,6.8B,8.0,1,3,2023-01-01,5
2023-01-05,10:58am,EUR,Low Impact Expected,French 10-y Bond Auction,133767,2.77|1.9,,2.19|2.2,10.0,1,3,2023-01-01,5
2023-01-05,11:00am,EUR,Low Impact Expected,PPI m/m,132689,-0.9%,-0.8%,-3.0%,11.0,1,3,2023-01-01,5
2023-01-05,11:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,122594,0.3%,0.2%,0.5%,11.0,1,3,2023-01-01,5
2023-01-05,10:30am,GBP,Low Impact Expected,Final Services PMI,129209,49.9,50.0,50.0,10.0,1,3,2023-01-01,5
2023-01-05,12:50am,JPY,Low Impact Expected,Monetary Base y/y,128178,-6.1%,-6.1%,-6.4%,12.0,1,3,2023-01-01,5
2023-01-05,4:35am,JPY,Low Impact Expected,10-y Bond Auction,128770,0.50|4.8,,0.25|6.0,4.0,1,3,2023-01-01,5
2023-01-05,6:00am,JPY,Low Impact Expected,Consumer Confidence,128209,30.3,28.2,28.6,6.0,1,3,2023-01-01,5
2023-01-05,1:30pm,USD,Low Impact Expected,Challenger Job Cuts y/y,130076,129.1%,,416.5%,1.0,1,3,2023-01-01,5
2023-01-05,2:15pm,USD,High Impact Expected,ADP Non-Farm Employment Change,133613,235K,152K,182K,2.0,1,3,2023-01-01,5
2023-01-05,2:30pm,USD,Medium Impact Expected,Unemployment Claims,130200,204K,230K,223K,2.0,1,3,2023-01-01,5
2023-01-05,2:30pm,USD,Low Impact Expected,Trade Balance,129778,-61.5B,-64.2B,-77.8B,2.0,1,3,2023-01-01,5
2023-01-05,3:45pm,USD,Low Impact Expected,Final Services PMI,130476,44.7,44.4,44.4,3.0,1,3,2023-01-01,5
2023-01-05,4:30pm,USD,Low Impact Expected,Natural Gas Storage,128430,-221B,-230B,-213B,4.0,1,3,2023-01-01,5
2023-01-05,5:00pm,USD,Low Impact Expected,Crude Oil Inventories,129391,1.7M,1.5M,0.7M,5.0,1,3,2023-01-01,5
2023-01-07,5:15pm,GBP,Low Impact Expected,MPC Member Mann Speaks,133766,,,,5.0,1,5,2023-01-01,7
2023-01-08,2:00pm,GBP,Low Impact Expected,MPC Member Pill Speaks,133783,,,,2.0,1,6,2023-01-01,8
2023-01-09,1:30am,AUD,Low Impact Expected,Building Approvals m/m,131114,-9.0%,0.1%,-5.6%,1.0,1,0,2023-01-01,9
2023-01-09,2:30pm,CAD,Low Impact Expected,Building Permits m/m,132363,14.1%,0.4%,-5.3%,2.0,1,0,2023-01-01,9
2023-01-09,7:45am,CHF,Low Impact Expected,Unemployment Rate,131343,1.9%,2.1%,2.0%,7.0,1,0,2023-01-01,9
2023-01-09,9:00am,CHF,Low Impact Expected,Foreign Currency Reserves,129627,784B,,790B,9.0,1,0,2023-01-01,9
2023-01-09,8:00am,EUR,Low Impact Expected,German Industrial Production m/m,132104,0.2%,0.2%,-0.4%,8.0,1,0,2023-01-01,9
2023-01-09,8:45am,EUR,Low Impact Expected,French Trade Balance,131939,-13.8B,-11.3B,-11.6B,8.0,1,0,2023-01-01,9
2023-01-09,10:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,122530,7.8%,7.8%,7.9%,10.0,1,0,2023-01-01,9
2023-01-09,10:30am,EUR,Low Impact Expected,Sentix Investor Confidence,132181,-17.5,-18.1,-21.0,10.0,1,0,2023-01-01,9
2023-01-09,11:00am,EUR,Low Impact Expected,Unemployment Rate,132738,6.5%,6.5%,6.5%,11.0,1,0,2023-01-01,9
2023-01-09,4:30pm,GBP,Low Impact Expected,MPC Member Pill Speaks,133790,,,,4.0,1,0,2023-01-01,9
2023-01-09,All Day,JPY,Non-Economic,Bank Holiday,133650,,,,0.0,1,0,2023-01-01,9
2023-01-09,9:00pm,USD,Low Impact Expected,Consumer Credit m/m,129610,28.0B,25.0B,29.1B,9.0,1,0,2023-01-01,9
2023-01-10,11:10am,CAD,High Impact Expected,BOC Gov Macklem Speaks,133786,,,,11.0,1,1,2023-01-01,10
2023-01-10,10:05am,CNY,Low Impact Expected,M2 Money Supply y/y,131517,11.8%,12.4%,12.4%,10.0,1,1,2023-01-01,10
2023-01-10,10:05am,CNY,Low Impact Expected,New Loans,131518,1400B,1150B,1210B,10.0,1,1,2023-01-01,10
2023-01-10,8:45am,EUR,Low Impact Expected,French Industrial Production m/m,129273,2.0%,0.9%,-2.5%,8.0,1,1,2023-01-01,10
2023-01-10,1:01am,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,133356,6.5%,2.4%,4.1%,1.0,1,1,2023-01-01,10
2023-01-10,11:02am,GBP,Low Impact Expected,10-y Bond Auction,133785,3.70|2.8,,3.33|2.2,11.0,1,1,2023-01-01,10
2023-01-10,12:30am,JPY,Low Impact Expected,Household Spending y/y,128954,-1.2%,0.6%,1.2%,12.0,1,1,2023-01-01,10
2023-01-10,12:30am,JPY,Low Impact Expected,Tokyo Core CPI y/y,125911,4.0%,3.8%,3.6%,12.0,1,1,2023-01-01,10
2023-01-10,11:10am,JPY,Medium Impact Expected,BOJ Gov Kuroda Speaks,133787,,,,11.0,1,1,2023-01-01,10
2023-01-10,11:59am,USD,Low Impact Expected,NFIB Small Business Index,130488,89.8,91.6,91.9,11.0,1,1,2023-01-01,10
